resale_price,year,month_Jan,month_Feb,month_Mar,month_Apr,month_May,month_Jun,month_Jul,month_Aug,month_Sep,month_Oct,month_Nov,month_Dec,postal_2digits_05,postal_2digits_08,postal_2digits_09,postal_2digits_10,postal_2digits_12,postal_2digits_13,postal_2digits_14,postal_2digits_15,postal_2digits_16,postal_2digits_18,postal_2digits_19,postal_2digits_20,postal_2digits_21,postal_2digits_26,postal_2digits_27,postal_2digits_30,postal_2digits_31,postal_2digits_32,postal_2digits_33,postal_2digits_35,postal_2digits_36,postal_2digits_37,postal_2digits_38,postal_2digits_39,postal_2digits_40,postal_2digits_41,postal_2digits_42,postal_2digits_43,postal_2digits_44,postal_2digits_46,postal_2digits_47,postal_2digits_50,postal_2digits_51,postal_2digits_52,postal_2digits_53,postal_2digits_54,postal_2digits_55,postal_2digits_56,postal_2digits_57,postal_2digits_59,postal_2digits_60,postal_2digits_61,postal_2digits_64,postal_2digits_65,postal_2digits_67,postal_2digits_68,postal_2digits_73,postal_2digits_75,postal_2digits_76,postal_2digits_79,postal_2digits_82,town_ANG.MO.KIO,town_BEDOK,town_BISHAN,town_BUKIT.BATOK,town_BUKIT.MERAH,town_BUKIT.PANJANG,town_BUKIT.TIMAH,town_CENTRAL.AREA,town_CHOA.CHU.KANG,town_CLEMENTI,town_GEYLANG,town_HOUGANG,town_JURONG.EAST,town_JURONG.WEST,town_KALLANG.WHAMPOA,town_MARINE.PARADE,town_PASIR.RIS,town_PUNGGOL,town_QUEENSTOWN,town_SEMBAWANG,town_SENGKANG,town_SERANGOON,town_TAMPINES,town_TOA.PAYOH,town_WOODLANDS,town_YISHUN,Remaining_lease,floor_area_sqm,max_floor_lvl,storey_range_01.TO.03,storey_range_01.TO.05,storey_range_04.TO.06,storey_range_06.TO.10,storey_range_07.TO.09,storey_range_10.TO.12,storey_range_11.TO.15,storey_range_13.TO.15,storey_range_16.TO.18,storey_range_16.TO.20,storey_range_19.TO.21,storey_range_21.TO.25,storey_range_22.TO.24,storey_range_25.TO.27,storey_range_26.TO.30,storey_range_28.TO.30,storey_range_31.TO.33,storey_range_31.TO.35,storey_range_34.TO.36,storey_range_36.TO.40,storey_range_37.TO.39,storey_range_40.TO.42,storey_range_43.TO.45,storey_range_46.TO.48,storey_range_49.TO.51,total_dwelling_units,X1room_sold,X2room_sold,X3room_sold,X4room_sold,X5room_sold,exec_sold,multigen_sold,studio_apartment_sold,X1room_rental,X2room_rental,X3room_rental,other_room_rental,mature,flat_type_1.ROOM,flat_type_2.ROOM,flat_type_3.ROOM,flat_type_4.ROOM,flat_type_5.ROOM,flat_type_EXECUTIVE,flat_type_MULTI.GENERATION,flat_model_2.room,flat_model_adjoined.flat,flat_model_apartment,flat_model_dbss,flat_model_improved,flat_model_improved.maisonette,flat_model_maisonette,flat_model_model.a,flat_model_model.a.maisonette,flat_model_model.a2,flat_model_multi.generation,flat_model_new.generation,flat_model_premium.apartment,flat_model_premium.apartment.loft,flat_model_premium.maisonette,flat_model_simplified,flat_model_standard,flat_model_terrace,flat_model_type.s1,flat_model_type.s2,Dist_nearest_GHawker,nearest_ghawker_no_of_cooked_food_stalls,nearest_ghawker_no_of_mkt_produce_stalls,nearest_ghawker_no_of_stalls,Dist_nearest_mall,no_malls_0.5km,no_malls_1km,no_malls_2km,Dist_nearest_beach,beach_within_2km,Dist_nearest_waterbody,waterbody_within_2km,Dist_nearest_CC,Dist_nearest_station,NSL,EWL,NEL,CCL,DTL,TEL,LRT,unique_no_mrt_0.5km,unique_no_mrt_1km,Dist_nearest_primary_school,Nearest_primary_school_gender_BOYS..SCHOOL,Nearest_primary_school_gender_CO.ED.SCHOOL,Nearest_primary_school_gender_GIRLS..SCHOOL,no_primary_schools_1km,no_primary_schools_2km,Dist_nearest_GAI_primary_school,Nearest_GAI_primary_school_gender_BOYS..SCHOOL,Nearest_GAI_primary_school_gender_CO.ED.SCHOOL,Nearest_GAI_primary_school_gender_GIRLS..SCHOOL,no_GAI_primary_schools_1km,no_GAI_primary_schools_2km,Dist_nearest_G_primary_school,Nearest_G_primary_school_gender_CO.ED.SCHOOL,Nearest_G_primary_school_gender_GIRLS..SCHOOL,no_G_primary_schools_1km,no_G_primary_schools_2km,Dist_nearest_secondary_school,Nearest_secondary_school_gender_BOYS..SCHOOL,Nearest_secondary_school_gender_CO.ED.SCHOOL,Nearest_secondary_school_gender_GIRLS..SCHOOL,Dist_nearest_GAI_secondary_school,Nearest_GAI_secondary_school_gender_BOYS..SCHOOL,Nearest_GAI_secondary_school_gender_CO.ED.SCHOOL,Nearest_GAI_secondary_school_gender_GIRLS..SCHOOL,Dist_nearest_G_secondary_school,Nearest_G_secondary_school_gender_BOYS..SCHOOL,Nearest_G_secondary_school_gender_CO.ED.SCHOOL,Nearest_G_secondary_school_gender_GIRLS..SCHOOL,Dist_nearest_jc,Dist_nearest_GAI_jc,Dist_nearest_G_jc,Dist_nearest_polytechnic,Dist_nearest_university,Dist_nearest_hospital,Nearest_hospital_ownership_Non.profit,Nearest_hospital_ownership_Private,Nearest_hospital_ownership_Public,Dist_nearest_A_hospital,Nearest_A_hospital_ownership_Non.profit,Nearest_A_hospital_ownership_Private,Nearest_A_hospital_ownership_Public,Dist_CBD,Dist_nearest_ADF,ADF_within_0.5km,ADF_within_1km,ADF_within_2km
395000,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,84,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,8,19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4821851,80,77,157,0.9718645,0,1,3,7.254517,0,2.675811,0,0.7597549,1.008453,1,0,0,1,0,0,0,0,0,0.4471147,0,1,0,5,13,0.5391763,0,1,0,3,9,0.4471147,1,0,2,4,0.4619186,0,1,0,0.6206183,0,1,0,0.4619186,0,1,0,1.032231,1.032231,2.574502,3.920893,5.302922,1.985049,1,0,0,1.985049,1,0,0,6.717383,1.190069,0,0,1
675000,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,146,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.930232,56,123,179,0.9121537,0,2,3,4.096232,0,2.423759,0,0.1821587,1.176052,1,0,0,0,0,0,0,0,0,0.1886515,0,1,0,3,10,1.582847,0,1,0,0,1,0.1886515,1,0,3,9,0.5028807,0,1,0,1.111606,0,1,0,0.5028807,0,1,0,1.685641,6.146403,1.685641,5.13943,13.18197,0.7674555,0,0,1,0.7674555,0,0,1,15.69933,1.617035,0,0,1
413000,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77,101,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,120,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.662314,66,120,186,0.3810285,1,3,7,3.743539,0,2.976922,0,0.5877077,0.4603622,0,0,0,0,0,0,1,1,2,0.2203923,0,1,0,5,17,1.082586,0,1,0,0,3,0.2203923,1,0,5,14,0.3840903,0,1,0,0.405857,0,0,1,0.3840903,0,1,0,4.225532,5.725486,4.225532,5.896271,8.677392,1.139143,0,0,1,1.139143,0,0,1,12.82404,1.670345,0,0,1
350000,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,64,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,21,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6762883,80,77,157,0.6073082,0,1,2,7.621743,0,2.285656,0,0.4440206,0.6829394,1,0,0,1,0,0,0,0,2,0.2604242,0,1,0,3,12,0.5724711,0,1,0,1,8,0.2604242,1,0,2,4,0.160149,0,1,0,0.6140995,0,1,0,0.160149,0,1,0,0.6235959,0.6235959,2.235246,3.744032,5.419028,1.619888,1,0,0,1.619888,1,0,0,6.830667,1.544324,0,0,1
728000,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,123,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,65,92,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9723895,32,86,118,0.7346454,0,1,5,8.935812,0,2.075924,0,0.2994516,0.6734469,1,0,0,1,0,0,0,0,2,0.1278965,1,0,0,1,9,0.1278965,1,0,0,1,4,1.061226,1,0,0,5,0.1278965,1,0,0,0.1278965,1,0,0,0.2962195,0,1,0,0.8953815,1.129876,0.8953815,2.627106,6.602012,1.782007,1,0,0,1.782007,1,0,0,7.998324,0.9985864,0,1,1
310000,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,68,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,212,22,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2213257,40,84,124,0.808967,0,2,3,2.985364,0,1.072526,1,0.08122227,0.7615836,0,0,0,0,1,0,0,0,1,0.6179719,0,1,0,4,9,0.8675782,0,1,0,1,3,0.6179719,1,0,3,6,0.5390079,0,1,0,1.688983,0,1,0,0.5390079,0,1,0,1.868917,6.951097,1.868917,1.537022,4.109588,2.667511,1,0,0,2.676986,0,0,1,9.930967,3.887929,0,0,0
435000,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,80,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,140,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4490727,0,122,122,0.7533606,0,1,9,4.098955,0,5.119245,0,0.5196368,0.5383842,0,1,0,0,0,0,0,0,1,0.2797083,0,1,0,3,7,1.866547,0,0,1,0,1,0.2797083,1,0,3,6,0.2770381,0,1,0,1.59352,0,0,1,0.2770381,0,1,0,3.166452,3.166452,4.837031,5.404535,3.472803,1.907521,0,1,0,1.907521,0,1,0,3.386254,5.028559,0,0,0
750888,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,108,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,1,91,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.420685,45,99,144,0.4470702,1,4,4,2.994116,0,2.234203,0,0.400542,0.8234215,0,1,0,0,1,0,0,0,2,0.3907696,0,1,0,3,9,0.3907696,0,1,0,2,2,0.9001146,1,0,1,7,0.7118117,0,1,0,0.7661479,0,1,0,0.7118117,0,1,0,2.198594,8.048619,2.198594,1.475283,3.266172,2.032961,1,0,0,2.159362,0,0,1,12.61525,1.587712,0,0,1
452000,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,90,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.006626,60,87,147,1.360018,0,0,7,7.811982,0,3.943634,0,0.8652589,0.8398338,1,0,0,0,0,0,0,0,1,0.3821219,0,1,0,2,7,0.3821219,0,1,0,1,2,0.9292249,1,0,1,5,0.2846801,0,1,0,1.614492,0,1,0,0.2846801,0,1,0,2.038539,6.893137,2.038539,4.420743,4.907221,2.19502,1,0,0,3.794013,0,0,1,14.29638,2.798287,0,0,0
650000,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73,148,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.784521,45,99,144,1.348794,0,0,5,3.22615,0,3.939571,0,0.4528245,0.5501901,0,0,0,0,1,0,0,0,1,0.3439913,0,1,0,4,9,2.441229,0,1,0,0,0,0.3439913,1,0,4,9,0.2459475,0,1,0,0.2459475,0,1,0,0.4624693,0,1,0,3.499734,10.24002,3.499734,3.056157,1.534589,1.689905,1,0,0,1.747331,0,0,1,14.16844,3.64146,0,0,0
672000,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,76,122,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,57,40,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237534,84,127,211,0.960194,0,1,4,4.533148,0,4.040628,0,0.2349506,0.4300861,0,0,0,0,1,0,0,1,2,0.3200462,0,1,0,1,7,1.027778,1,0,0,0,5,0.3200462,1,0,1,2,0.8731605,0,1,0,0.9585501,1,0,0,0.8731605,0,1,0,1.24093,1.24093,3.077256,6.640833,3.370019,1.926773,0,1,0,1.926773,0,1,0,4.662802,0.6849915,0,1,1
718888,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,135,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,48,96,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4579518,52,112,164,0.6148145,0,2,10,6.220706,0,3.009565,0,0.5523665,0.8309009,1,0,0,0,0,0,0,0,1,0.8267931,0,1,0,1,9,0.8267931,0,1,0,1,6,1.497765,1,0,0,3,0.9188788,0,1,0,1.255054,0,0,1,0.9188788,0,1,0,1.330932,1.330932,4.130375,5.781993,3.385504,0.9070351,1,0,0,0.9279573,0,0,1,4.799208,1.333996,0,0,1
725000,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,90,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,4,0,254,39,0,0,34,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1989764,28,89,117,1.149108,0,0,6,4.095209,0,5.920099,0,0.2745712,0.2254886,0,1,0,0,0,0,0,1,1,0.1195093,0,1,0,1,3,1.521585,0,1,0,0,1,0.1195093,1,0,1,2,0.2594435,0,1,0,1.676133,0,1,0,0.2594435,0,1,0,1.59473,1.59473,3.34439,2.685133,2.139724,1.347931,0,0,1,1.347931,0,0,1,6.06558,6.811297,0,0,0
5.00E+05,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82,111,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,43,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.745588,50,100,150,0.4148094,1,1,4,5.391846,0,4.064689,0,1.703458,0.47607,0,0,0,0,0,0,1,1,1,0.1534414,0,1,0,2,8,1.997985,0,1,0,0,0,0.1534414,1,0,2,8,0.6199173,0,1,0,1.896763,0,1,0,0.6199173,0,1,0,3.249529,4.353922,3.249529,2.901232,10.48359,1.960166,0,0,1,2.283027,0,0,1,11.88101,3.255408,0,0,0
322000,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,73,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,104,22,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4473355,45,78,123,0.1283265,3,3,4,9.026604,0,2.707417,0,0.4328032,0.2710539,1,0,0,0,0,0,0,1,1,0.4747434,0,1,0,3,9,1.537253,1,0,0,0,3,0.4747434,1,0,3,6,0.4834301,0,1,0,1.537253,1,0,0,0.4834301,0,1,0,1.034958,2.515599,1.034958,1.220216,7.953619,1.919964,1,0,0,3.156013,1,0,0,9.359225,1.268657,0,0,1
510000,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,110,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,125,109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.311796,60,87,147,0.5596211,0,4,7,9.873361,0,5.031553,0,0.6522051,0.3928146,0,0,0,0,0,0,1,1,2,0.2271541,0,1,0,4,10,2.154064,0,1,0,0,0,0.2271541,1,0,4,10,0.2365929,0,1,0,2.021858,0,1,0,0.2365929,0,1,0,0.7268111,5.556588,0.7268111,6.071455,6.531912,4.506104,1,0,0,6.080815,0,0,1,15.13683,3.77429,0,0,0
415000,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,93,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,59,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.22702,56,123,179,0.275966,1,1,3,4.84246,0,1.633354,1,0.8019552,1.1946,1,0,0,0,0,0,0,0,0,0.4613154,0,1,0,3,8,2.292571,0,1,0,0,0,0.4613154,1,0,3,8,0.320512,0,1,0,0.7097341,0,1,0,0.320512,0,1,0,1.710054,6.089659,1.710054,4.372771,12.47776,0.8698944,0,0,1,0.8698944,0,0,1,14.92202,2.134209,0,0,0
433000,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,105,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,134,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2413745,60,130,190,0.815443,0,1,3,7.420178,0,1.04732,1,0.3394163,0.4198665,0,1,0,0,0,0,0,1,1,0.112463,0,1,0,3,6,3.789521,0,1,0,0,0,0.112463,1,0,3,6,0.3370379,0,1,0,5.710028,0,1,0,0.3370379,0,1,0,1.315217,7.173399,1.315217,6.198922,4.396644,2.481365,1,0,0,3.44177,0,0,1,16.25347,3.428146,0,0,0
720000,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,137,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,47,47,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2350503,16,43,59,1.418656,0,0,5,3.968739,0,4.523256,0,0.7173561,0.4586188,0,0,0,0,1,0,0,1,2,0.6105211,0,1,0,2,6,0.6105211,0,1,0,2,5,1.35576,1,0,0,1,1.211355,0,1,0,1.405224,0,1,0,1.211355,0,1,0,2.543988,2.543988,3.421353,5.407264,5.252547,3.002126,0,1,0,3.002126,0,1,0,6.366685,1.681538,0,0,1
232000,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,60,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,58,188,3,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2965961,39,63,102,0.8733963,0,1,6,4.264098,0,5.544156,0,0.5717517,0.3053513,0,1,0,0,0,0,0,1,2,0.4918446,0,1,0,1,3,1.676178,0,1,0,0,1,0.4918446,1,0,1,2,0.4409819,0,1,0,1.802131,0,1,0,0.4409819,0,1,0,1.683399,1.683399,2.943868,2.653392,2.278568,1.734793,0,0,1,1.734793,0,0,1,6.090981,6.649634,0,0,0
406000,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82,90,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,31,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.667893,56,123,179,1.08886,0,0,4,3.766434,0,4.715312,0,0.7451751,0.8087639,1,0,0,0,0,0,0,0,1,0.5011257,0,1,0,3,11,3.525364,0,1,0,0,0,0.5011257,1,0,3,11,0.6492639,0,1,0,2.485523,0,1,0,0.6492639,0,1,0,2.770205,2.770205,3.206727,2.7347,13.20754,3.944808,0,0,1,4.014423,0,0,1,18.33678,3.030112,0,0,0
